"","OTU","X","LogMeanMax","Class","LDA","pValue","exp","testingGroup","genus","experiment"
"48","Otu0016",71771,4.51735,"FALSE",4.15521,0.00974268,"PRJEB20299","turned","Methylobacterium(99)","PRJEB20299"
"49","Otu0018",75139,4.44653,"TRUE",4.09636,0.00194577,"PRJEB20299","turned","Stenotrophomonas(100)","PRJEB20299"
"50","Otu0018",71773,4.45057,"TRUE",4.08668,0.00194577,"PRJEB20299","turned","Stenotrophomonas(100)","PRJEB20299"
"51","Otu0018",87271,4.45482,"middle",4.11284,0.00811302,"PRJEB20299","stage","Stenotrophomonas(100)","PRJEB20299"
"52","Otu0018",90637,4.45145,"middle",4.09829,0.00822975,"PRJEB20299","stage","Stenotrophomonas(100)","PRJEB20299"
"53","Otu0020",75141,4.35834,"FALSE",3.98528,0.00451036,"PRJEB20299","turned","Oxalobacteraceae_unclassified(100)","PRJEB20299"
"54","Otu0020",71775,4.36114,"FALSE",3.93765,0.0045087,"PRJEB20299","turned","Oxalobacteraceae_unclassified(100)","PRJEB20299"
"55","Otu0020",90639,4.35834,"early",3.95419,0.0174639,"PRJEB20299","stage","Oxalobacteraceae_unclassified(100)","PRJEB20299"
"56","Otu0020",87273,4.36114,"early",3.97941,0.0167313,"PRJEB20299","stage","Oxalobacteraceae_unclassified(100)","PRJEB20299"
"57","Otu0021",71776,4.20166,"TRUE",3.58954,0.0388671,"PRJEB20299","turned","Stenotrophomonas(100)","PRJEB20299"
"58","Otu0021",75142,4.19942,"TRUE",3.68227,0.0388824,"PRJEB20299","turned","Stenotrophomonas(100)","PRJEB20299"
"59","Otu0022",87275,4.3254,"early",4.01083,0.0231842,"PRJEB20299","stage","Enterobacterales_unclassified(100)","PRJEB20299"
"60","Otu0022",90641,4.31718,"early",4.0382,0.0231842,"PRJEB20299","stage","Enterobacterales_unclassified(100)","PRJEB20299"
"61","Otu0023",87276,4.26923,"late",3.94841,0.0087971,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"62","Otu0023",71778,4.11285,"TRUE",3.7761,0.0045087,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"63","Otu0023",75144,4.10799,"TRUE",3.77307,0.00451036,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"64","Otu0023",90642,4.25901,"late",3.92976,0.0087971,"PRJEB20299","stage","Pedobacter(100)","PRJEB20299"
"65","Otu0024",75145,4.08811,"TRUE",3.73099,0.00194577,"PRJEB20299","turned","Brevundimonas(100)","PRJEB20299"
"66","Otu0024",71779,4.08905,"TRUE",3.73801,0.00194577,"PRJEB20299","turned","Brevundimonas(100)","PRJEB20299"
"67","Otu0024",90643,4.14439,"late",3.7888,0.00723683,"PRJEB20299","stage","Brevundimonas(100)","PRJEB20299"
"68","Otu0024",87277,4.14552,"late",3.79355,0.00654816,"PRJEB20299","stage","Brevundimonas(100)","PRJEB20299"
"69","Otu0025",75146,4.06275,"TRUE",3.69526,0.00194577,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"70","Otu0025",87278,4.07463,"late",3.67642,0.00811302,"PRJEB20299","stage","Flavobacterium(100)","PRJEB20299"
"71","Otu0025",71780,4.06519,"TRUE",3.66275,0.00194577,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"72","Otu0025",90644,4.07379,"late",3.71686,0.00822975,"PRJEB20299","stage","Flavobacterium(100)","PRJEB20299"
"73","Otu0026",79530,3.87305,"standard",3.19978,0.0474012,"PRJEB20299","treatment","Comamonadaceae_unclassified(100)","PRJEB20299"
"74","Otu0026",82896,3.88001,"standard",3.32799,0.0350241,"PRJEB20299","treatment","Comamonadaceae_unclassified(100)","PRJEB20299"
"75","Otu0027",90646,4.08756,"late",3.75645,0.00723683,"PRJEB20299","stage","Flavobacterium(99)","PRJEB20299"
"76","Otu0027",75148,4.02001,"TRUE",3.68228,0.00194577,"PRJEB20299","turned","Flavobacterium(99)","PRJEB20299"
"77","Otu0027",71782,4.02358,"TRUE",3.63742,0.0019235,"PRJEB20299","turned","Flavobacterium(99)","PRJEB20299"
"78","Otu0027",87280,4.08419,"late",3.69707,0.00802744,"PRJEB20299","stage","Flavobacterium(99)","PRJEB20299"
"79","Otu0028",79532,3.87829,"standard",3.24207,0.0476454,"PRJEB20299","treatment","Hymenobacter(100)","PRJEB20299"
"80","Otu0028",82898,3.88437,"standard",3.28526,0.0476582,"PRJEB20299","treatment","Hymenobacter(100)","PRJEB20299"
"81","Otu0029",82899,3.83121,"standard",3.26417,0.0476582,"PRJEB20299","treatment","Comamonadaceae_unclassified(100)","PRJEB20299"
"82","Otu0029",79533,3.83512,"standard",3.20191,0.0251866,"PRJEB20299","treatment","Comamonadaceae_unclassified(100)","PRJEB20299"
"83","Otu0029",75150,3.90676,"FALSE",3.45092,0.0388824,"PRJEB20299","turned","Comamonadaceae_unclassified(100)","PRJEB20299"
"84","Otu0030",71785,3.90636,"TRUE",3.55931,0.0045087,"PRJEB20299","turned","Dyadobacter(100)","PRJEB20299"
"85","Otu0030",90649,4.02765,"late",3.70433,0.0105924,"PRJEB20299","stage","Dyadobacter(100)","PRJEB20299"
"86","Otu0030",75151,3.91143,"TRUE",3.57353,0.00451036,"PRJEB20299","turned","Dyadobacter(100)","PRJEB20299"
"87","Otu0030",87283,4.02012,"late",3.66645,0.0105924,"PRJEB20299","stage","Dyadobacter(100)","PRJEB20299"
"88","Otu0031",75152,4.03472,"FALSE",3.66875,0.00298601,"PRJEB20299","turned","Yersiniaceae_unclassified(100)","PRJEB20299"
"89","Otu0031",87284,4.02797,"early",3.7437,0.00428575,"PRJEB20299","stage","Yersiniaceae_unclassified(100)","PRJEB20299"
"90","Otu0031",71786,4.02797,"FALSE",3.71461,0.00295332,"PRJEB20299","turned","Yersiniaceae_unclassified(100)","PRJEB20299"
"91","Otu0031",90650,4.03472,"early",3.77274,0.00433742,"PRJEB20299","stage","Yersiniaceae_unclassified(100)","PRJEB20299"
"92","Otu0032",71787,3.91108,"TRUE",3.52499,0.00194577,"PRJEB20299","turned","Paracoccaceae_unclassified(96)","PRJEB20299"
"93","Otu0032",75153,3.91608,"TRUE",3.53862,0.00194577,"PRJEB20299","turned","Paracoccaceae_unclassified(96)","PRJEB20299"
"94","Otu0032",87285,3.98594,"middle",3.63011,0.00575813,"PRJEB20299","stage","Paracoccaceae_unclassified(96)","PRJEB20299"
"95","Otu0032",90651,3.99213,"middle",3.63351,0.00654816,"PRJEB20299","stage","Paracoccaceae_unclassified(96)","PRJEB20299"
"96","Otu0033",87286,3.99364,"early",3.71116,0.00433742,"PRJEB20299","stage","Pseudomonas(93)","PRJEB20299"
"97","Otu0033",75154,3.99327,"FALSE",3.60803,0.00298601,"PRJEB20299","turned","Pseudomonas(93)","PRJEB20299"
"98","Otu0033",71788,3.99364,"FALSE",3.65304,0.00298491,"PRJEB20299","turned","Pseudomonas(93)","PRJEB20299"
"99","Otu0033",90652,3.99327,"early",3.73964,0.00433742,"PRJEB20299","stage","Pseudomonas(93)","PRJEB20299"
"100","Otu0036",75157,3.7861,"TRUE",3.33713,0.0281967,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"101","Otu0036",71791,3.78942,"TRUE",3.28062,0.0280129,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"102","Otu0037",90656,3.9554,"late",3.60784,0.0138625,"PRJEB20299","stage","Sphingomonas(86)","PRJEB20299"
"103","Otu0037",87290,3.95609,"late",3.63344,0.0138625,"PRJEB20299","stage","Sphingomonas(86)","PRJEB20299"
"104","Otu0037",75158,3.82447,"TRUE",3.46861,0.00670628,"PRJEB20299","turned","Sphingomonas(86)","PRJEB20299"
"105","Otu0037",71792,3.82404,"TRUE",3.47778,0.00670628,"PRJEB20299","turned","Sphingomonas(86)","PRJEB20299"
"106","Otu0041",87294,3.74908,"late",3.41305,0.00811302,"PRJEB20299","stage","Flavobacterium(100)","PRJEB20299"
"107","Otu0041",75162,3.7171,"TRUE",3.34302,0.00194577,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"108","Otu0041",90660,3.75037,"late",3.37848,0.00811302,"PRJEB20299","stage","Flavobacterium(100)","PRJEB20299"
"109","Otu0041",71796,3.72055,"TRUE",3.34032,0.00194577,"PRJEB20299","turned","Flavobacterium(100)","PRJEB20299"
"110","Otu0043",71798,3.61612,"TRUE",3.16897,0.0386527,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"111","Otu0043",75164,3.63189,"TRUE",3.20314,0.0388824,"PRJEB20299","turned","Pedobacter(100)","PRJEB20299"
"112","Otu0044",82914,3.66992,"standard",3.17338,0.0180943,"PRJEB20299","treatment","Sphingomonadaceae_unclassified(100)","PRJEB20299"
"113","Otu0044",79548,3.6619,"standard",3.21209,0.015082,"PRJEB20299","treatment","Sphingomonadaceae_unclassified(100)","PRJEB20299"
"114","Otu0045",87298,3.76118,"late",3.30461,0.0181009,"PRJEB20299","stage","Brevundimonas(100)","PRJEB20299"
"115","Otu0045",90664,3.74001,"late",3.26639,0.0249601,"PRJEB20299","stage","Brevundimonas(100)","PRJEB20299"
