"","experiment","estimator","group","filter1","filter2","filter3","alternative","pVal"
"85","PRJEB27872","invsimpson","turned","na","na","na","greater",0.142857142857143
"86","PRJNA494847","heip","stage","early","middle","Low Moisture","greater",0.137112615874664
"87","PRJNA494847","heip","turned","Soil Slurry","na","na","less",0.13531262825102
"88","PRJNA494847","shannon","stage","early","late","Soil Slurry","greater",0.131289147775603
"89","PRJEB20299","shannon","stage","early","middle","na","greater",0.128571428571429
"90","PRJNA494847","shannon","stage","early","middle","Soil Slurry","less",0.122396057004608
"91","PRJNA494847","chao","stage","early","middle","High Moisture","less",0.117741038877483
"92","PRJEB27872","chao","stage","early","late","na","greater",0.114285714285714
"93","PRJEB27872","shannon","stage","early","late","na","greater",0.114285714285714
"94","PRJEB20299","shannon","turned","na","na","na","greater",0.114219114219114
"95","PRJNA494847","shannon","stage","early","late","Low Moisture","greater",0.109219032946377
"96","PRJEB27872","shannon","turned","na","na","na","greater",0.0952380952380952
"97","PRJNA494847","shannon","treatment","Soil Slurry","High Moisture","na","greater",0.086757231167724
"98","PRJNA494847","chao","stage","early","late","High Moisture","less",0.0839848048633955
"99","PRJNA494847","heip","stage","early","middle","Soil Slurry","less",0.0778322584601885
"100","PRJNA494847","invsimpson","stage","early","late","High Moisture","less",0.0680378567647101
"101","PRJNA494847","chao","turned","High Moisture","na","na","less",0.0600418873591423
"102","PRJNA494847","shannon","stage","early","late","High Moisture","less",0.0587323704888974
"103","PRJNA494847","chao","stage","early","late","Soil Slurry","greater",0.0504205398409743
"104","PRJNA494847","invsimpson","stage","early","middle","Soil Slurry","less",0.0466154122383377
"105","PRJNA494847","invsimpson","stage","early","middle","High Moisture","less",0.0421820185434632
"106","PRJNA494847","heip","treatment","Soil Slurry","Low Moisture","na","less",0.0266530918513225
"107","PRJNA494847","invsimpson","turned","High Moisture","na","na","less",0.0220662144312336
"108","PRJNA494847","shannon","stage","early","middle","High Moisture","less",0.00626354231283838
"109","PRJNA494847","shannon","turned","High Moisture","na","na","less",0.0043421096678572
"110","PRJNA494847","heip","treatment","Soil Slurry","High Moisture","na","less",0.00266393290577236
"111","PRJNA494847","chao","treatment","Soil Slurry","Low Moisture","na","greater",0.00059513435321497
"112","PRJNA494847","chao","treatment","Soil Slurry","High Moisture","na","greater",0.00056383411131853
